,team_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,team_type,accuracy,precision,pool_accuracy,bounded_pool_accuracy,diversity,average
6232,9,15,9,0.55,0.2,10000,diverse,0.647500392829739,,0.6546420141048676,0.6545233689559953,0.4444444444444442,0.6208532797850841
6233,9,15,9,0.55,0.2,10000,diverse,0.6571052231048721,,0.6546420141048676,0.6548177777714999,0.4444444444444442,0.6258160723728416
6234,9,15,9,0.55,0.2,10000,diverse,0.6581927818837252,,0.6546420141048676,0.6550420446658405,0.4444444444444442,0.6289304197414939
6235,9,15,9,0.55,0.2,10000,diverse,0.6540804278104912,,0.6546420141048676,0.6548144554186677,0.4444444444444443,0.6258143050637771
6236,9,15,9,0.55,0.2,10000,diverse,0.6494638264707244,,0.6546420141048676,0.654591256251201,0.4444444444444441,0.6218751867798183
6237,9,15,9,0.55,0.2,10000,diverse,0.6512530671942913,,0.6546420141048676,0.6546199560996929,0.444444444444444,0.6226058275130648
6238,9,15,9,0.55,0.2,10000,diverse,0.6512918549412727,,0.6546420141048676,0.6544961198403637,0.4444444444444443,0.6202380697289207
6239,9,15,9,0.55,0.2,10000,diverse,0.6454350224232364,,0.6546420141048676,0.6542680548392226,0.444444444444444,0.6169262108464021
6240,9,15,9,0.55,0.2,10000,diverse,0.6495329745690672,,0.6546420141048676,0.6545695852039172,0.4444444444444441,0.6217239367559108
6241,9,15,9,0.55,0.2,10000,diverse,0.6547532720872669,,0.6546420141048676,0.6547900574184062,0.444444444444444,0.6254099679354657
6242,9,15,9,0.55,0.2,10000,diverse,0.6527394362710984,,0.6546420141048676,0.6546442048963207,0.4444444444444441,0.6229827235741343
6243,9,15,9,0.55,0.2,10000,diverse,0.651733325952605,,0.6546420141048676,0.6546922951287198,0.4444444444444442,0.623775104290009
6244,9,15,9,0.55,0.2,10000,diverse,0.6509307077510864,,0.6546420141048676,0.6545686674629098,0.4444444444444442,0.6218723158895963
6245,9,15,9,0.55,0.2,10000,diverse,0.6487498181450503,,0.6546420141048676,0.6544697003410185,0.4444444444444441,0.6198737284167188
6246,9,15,9,0.55,0.2,10000,diverse,0.6419403374552962,,0.6546420141048676,0.6540692036040208,0.4444444444444443,0.6143378345845892
6247,9,15,9,0.55,0.2,10000,diverse,0.6472991608972076,,0.6546420141048676,0.6545207444147165,0.4444444444444441,0.6206699928984593
6248,9,15,9,0.55,0.2,10000,diverse,0.6503788345396132,,0.6546420141048676,0.6546153047087911,0.444444444444444,0.6226179937303428
6249,9,15,9,0.55,0.2,10000,diverse,0.6478117382706863,,0.6546420141048676,0.654469859417016,0.4444444444444443,0.619787064129313
6250,9,15,9,0.55,0.2,10000,diverse,0.6525688015104335,,0.6546420141048676,0.654665344736788,0.4444444444444441,0.6229774217009424
6251,9,15,9,0.55,0.2,10000,diverse,0.6510219216914084,,0.6546420141048676,0.654665267153415,0.4444444444444443,0.6228897773190732
6252,9,15,9,0.55,0.2,10000,diverse,0.6488328235816816,,0.6546420141048676,0.6545978805952996,0.4444444444444441,0.6218707798848911
6253,9,15,9,0.55,0.2,10000,diverse,0.6513230873932466,,0.6546420141048676,0.6546935806791339,0.444444444444444,0.623471803389638
