,team_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,team_type,accuracy_opinion,precision_opinion,accuracy_evidence,accuracy_bounded,diversity,average
5076,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9759579269942557,,0.9719526684085908,0.978241717347522,0.5611111111111112,0.9307535853909464
5077,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9751520292196594,,0.9719526684085908,0.9771897060628212,0.5388888888888892,0.9324824794238682
5078,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9762727685880618,,0.977065010906729,0.9785593288034898,0.5722222222222224,0.9294504835390948
5079,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9764688156067935,,0.977065010906729,0.9785013650874712,0.5666666666666667,0.9302751500342936
5080,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9760416896486552,,0.9719526684085908,0.9782545394593238,0.5666666666666668,0.929756025377229
5081,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9768728922853211,,0.977065010906729,0.9785013650874712,0.5666666666666668,0.9302984645061728
5082,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9749755335649504,,0.9719526684085908,0.9773463262073162,0.5388888888888891,0.932476388888889
5083,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9767393242505824,,0.977065010906729,0.9784229991892672,0.5722222222222223,0.9293645241769548
5084,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9765232307157946,,0.977065010906729,0.9785013650874712,0.5666666666666669,0.9302840569272977
5085,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9767178351127398,,0.977065010906729,0.97871184740412,0.5722222222222223,0.9297308024691358
5086,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9766280296288922,,0.977065010906729,0.9788716439261834,0.5777777777777781,0.9290448251028806
5087,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.976085169671546,,0.977065010906729,0.978171493756128,0.5666666666666669,0.9297799159807956
